participant,adjP,adjP10,adjP20,adjP30,condition,points,exploded.balloons,change,age,gender,overall,comfort,smoothness,accuracy,force,mental.effort,physical.effort,finger,wrist,arm,shoulder,neck,I.plan.tasks.carefully.,I.do.things.without.thinking.,I.make.up.my.mind.quickly.,I.am.happy.go.lucky.,I.don.t..pay.attention..,I.have..racing..thoughts.,I.plan.trips.well.ahead.of.time.,I.am.self.controlled.,I.concentrate.easily.,I.save.regularly.,I..squirm..at.plays.or.lectures.,I.am.a.careful.thinker.,I.plan.for.job.security.,I.say.things.without.thinking.,I.like.to.think.about.complex.problems.,I.change.jobs.,I.act..on.impulse..,I.get.easily.bored.when.solving.thought.problems.,I.act.on.the.spur.of.the.moment.,I.am.a.steady.thinker.,I.change.residences.,I.buy.things.on.impulse.,I.can.only.think.about.one.thing.at.a.time.,I.change.hobbies.,I.spend.or.charge.more.than.I.earn.,I.often.have.extraneous.thoughts.when.thinking.,I.am.more.interested.in.the.present.than.the.future.,I.am.restless.at.the.theater.or.lectures.,I.like.puzzles.,I.am.future.oriented.,BIS_index,BIS
45,33.25,31.1428571428571,37,30.2,constrictive,665,10,-3.02752293577982,21,female,5,4,4,3,3,1,2,3,1,1,2,3,occasionally,often,occasionally,almost always / always,occasionally,often,often,often,almost always / always,almost always / always,rarely / never,occasionally,often,occasionally,often,occasionally,often,often,occasionally,occasionally,rarely / never,occasionally,rarely / never,occasionally,rarely / never,often,rarely / never,rarely / never,rarely / never,almost always / always,63,low
46,33.9545454545455,29.8571428571429,41.875,29,expansive,747,8,-2.87081339712919,23,female,5,5,5,4,1,1,2,1,1,1,1,1,often,occasionally,rarely / never,rarely / never,occasionally,occasionally,almost always / always,often,often,often,rarely / never,often,occasionally,occasionally,often,rarely / never,occasionally,occasionally,rarely / never,occasionally,rarely / never,rarely / never,often,occasionally,rarely / never,occasionally,occasionally,rarely / never,often,often,53,low
47,48.0588235294118,51.1666666666667,49.3333333333333,42.8,constrictive,817,13,-16.3517915309446,31,female,5,5,5,4,1,2,1,1,1,1,1,1,occasionally,occasionally,occasionally,often,occasionally,often,often,often,occasionally,occasionally,rarely / never,often,occasionally,occasionally,rarely / never,rarely / never,often,occasionally,often,occasionally,occasionally,occasionally,often,rarely / never,occasionally,occasionally,often,occasionally,rarely / never,occasionally,73,high
48,24.695652173913,19.125,31.7142857142857,24.125,expansive,568,7,26.1437908496732,28,female,5,5,5,5,3,2,2,1,1,1,1,1,rarely / never,occasionally,rarely / never,occasionally,occasionally,often,rarely / never,occasionally,often,often,often,often,occasionally,often,almost always / always,occasionally,often,often,often,often,occasionally,occasionally,rarely / never,occasionally,rarely / never,often,rarely / never,occasionally,rarely / never,occasionally,71,high
49,23.6521739130435,21,24.8888888888889,25.3333333333333,constrictive,544,7,20.6349206349206,25,female,4,4,5,4,2,1,1,2,3,2,2,2,occasionally,often,almost always / always,occasionally,often,occasionally,rarely / never,often,often,rarely / never,often,occasionally,often,often,occasionally,often,occasionally,occasionally,occasionally,often,occasionally,often,rarely / never,often,rarely / never,almost always / always,occasionally,occasionally,almost always / always,often,75,high
50,54.4375,66.4,49,49,expansive,871,14,-26.2048192771084,21,female,5,4,3,5,2,3,2,1,2,2,1,3,almost always / always,occasionally,often,often,occasionally,occasionally,occasionally,often,occasionally,occasionally,rarely / never,often,often,rarely / never,often,rarely / never,occasionally,occasionally,occasionally,occasionally,occasionally,occasionally,rarely / never,occasionally,rarely / never,occasionally,occasionally,occasionally,often,often,60,low
51,44.0526315789474,43.6666666666667,44.8571428571429,43.5,constrictive,837,11,-0.381679389312972,23,female,5,4,4,5,1,1,1,3,2,1,1,1,often,occasionally,occasionally,often,rarely / never,often,occasionally,often,often,almost always / always,rarely / never,often,almost always / always,occasionally,often,occasionally,occasionally,occasionally,occasionally,often,occasionally,occasionally,rarely / never,occasionally,rarely / never,occasionally,occasionally,rarely / never,almost always / always,often,55,low
52,26.9583333333333,26.2857142857143,28,26.375,expansive,647,6,0.339673913043482,24,female,5,4,3,3,3,1,2,2,4,1,1,1,occasionally,occasionally,occasionally,often,often,often,almost always / always,occasionally,occasionally,occasionally,occasionally,occasionally,often,often,often,occasionally,often,occasionally,occasionally,often,often,often,occasionally,occasionally,rarely / never,often,occasionally,occasionally,rarely / never,often,73,high
53,53.625,45.8,47.8571428571429,73.5,constrictive,858,14,60.4803493449782,28,female,5,4,5,5,1,2,1,2,3,2,1,1,often,occasionally,often,often,occasionally,often,often,almost always / always,occasionally,occasionally,occasionally,often,often,occasionally,almost always / always,occasionally,occasionally,occasionally,occasionally,often,often,rarely / never,often,often,rarely / never,often,occasionally,often,almost always / always,often,65,high
54,40.8260869565217,32.75,47.625,42.2857142857143,expansive,939,7,29.1166848418757,20,female,5,5,5,4,1,1,1,1,3,1,1,1,almost always / always,occasionally,often,almost always / always,rarely / never,occasionally,almost always / always,almost always / always,almost always / always,almost always / always,occasionally,often,almost always / always,occasionally,rarely / never,occasionally,often,rarely / never,often,often,rarely / never,occasionally,rarely / never,rarely / never,rarely / never,often,rarely / never,occasionally,almost always / always,almost always / always,53,low
